Date,Forecast
2024-12-23,5934.781
2024-12-24,5953.3857
2024-12-25,5982.312
2024-12-26,6017.7935
2024-12-27,6054.7705
2024-12-30,6090.9487
2024-12-31,6125.013
2025-01-01,6156.212
2025-01-02,6184.253
2025-01-03,6209.1465
2025-01-06,6231.092
2025-01-07,6250.534
2025-01-08,6267.9473
2025-01-09,6283.8535
2025-01-10,6298.672
2025-01-13,6312.7983
2025-01-14,6326.668
2025-01-15,6340.543
2025-01-16,6354.614
2025-01-17,6368.9985
